x,y,z,Cell type,u,v,w
-1256.5358,-713.6884,-1058.7817,TAC-1,-4.447906040489883,10.398328938877102,-2.8149799078220514
407.91132,795.0163,328.86566,TAC-2,16.737178791258085,3.078457220295557,0.7236146196422291
-706.807,-32.46535,-977.86346,TAC-1,15.900221388081391,1.4060740921133688,8.424627187011353
-687.5137,934.4383,-698.7976,TAC-1,6.7011427978557085,-1.0440932667465015,5.776605807953231
-657.2322,61.848392,-473.7773,TAC-1,3.292659891132533,-6.612685781592867,-0.2722488991888797
-194.98576,-1494.255,18.489813,IRS - Huxley's layer,9.76298543853981,-18.33754364723713,-5.1546471442610775
62.208946,-726.0454,-167.88393,TAC-2,5.591052989714959,-22.481820415901662,-2.400674881580316
-1724.4232,-743.535,-1186.7805,TAC-1,0.2580412171840469,-4.308276438126142,-0.5167942365733812
-584.4669,66.12145,-783.20123,TAC-1,3.222396560739404,-10.801786383361769,-5.340621547291941
-494.1454,2329.889,-833.1531,IRS - Henle's layer,1.0380945642994712,-2.1329564731889605,-0.3917135401589256
876.3079,591.63715,329.73032,TAC-2,-1.2029170852692048,-3.662272124077977,-5.121974151053693
-119.19067,-186.79312,-651.8015,TAC-1,-1.1533674207043154,-8.366442520904139,-2.044570315839579
-84.24169,-409.7323,-282.19202,TAC-1,10.193864129268167,-12.021310435320917,-12.402855218601209
-519.87415,92.76092,-54.460827,TAC-1,6.456242609523502,-3.842992831946542,6.270335549077545
-64.89526,-575.09546,765.965,HS - Cortex,-3.853580687704859,-1.4429527600190146,-6.346643530799456
-1069.4,-372.6009,-1144.0546,TAC-1,5.8574606695875975,-11.227929840493225,0.8680165614374777
-834.8645,-627.6222,-571.133,TAC-1,5.826823414066978,-9.644100443087575,0.5133406392339739
304.17026,-725.81036,-88.88814,HS - Medulla,-4.805327766573028,0.410774843398567,5.1486848355928085
-624.46344,1022.29364,-684.195,TAC-1,2.067680284290297,-6.8854477287064215,-3.684845888681688
448.84018,-2671.0093,-888.00714,IRS - Huxley's layer,-0.8075382071633868,1.8822427413609548,-3.372863079148723
20.813131,-709.8497,-174.33023,TAC-1,28.81764716730131,5.6270981887806775,0.0329059567353821
-619.19366,1498.6824,-768.08936,TAC-1,-2.435759432786764,-0.1786978366927513,-3.063146727661401
-293.68704,-120.514435,-138.14317,TAC-1,2.288235515359823,-6.312379333211189,-6.591772259892594
-739.4306,-388.12164,-926.9151,TAC-1,26.406873567266658,5.159143756450988,4.386165185452173
-1514.7253,-473.9594,-1161.0848,TAC-1,-1.3745267051562406,-2.6783949236179825,-2.6161009288200745
-151.91159,-345.52487,-278.3877,TAC-1,10.270903707244726,-12.729277987514488,-0.258610956361606
-434.1296,-35.032814,-803.5326,TAC-1,7.7192450845394,3.293060001172884,4.478724633273361
-256.89886,-1618.7542,-162.92273,IRS - Huxley's layer,12.212715910952404,-2.1925321510472493,8.395016740570366
-40.5293,-946.66223,1573.2742,HS - Cortex,-1.997117018955575,-14.051254551427942,-3.0698644763422296
-691.4462,1430.2906,-725.6123,TAC-1,-1.0166453824271626,-3.196311064645848,-3.377819365133396
-1315.082,-718.9732,-900.226,TAC-1,0.2704335390379352,-6.667831801403858,9.431330185773826
434.9389,-849.64795,-62.041107,IRS - Huxley's layer,-0.8234390929013963,-13.587749347957017,-0.8484949780661207
1219.0294,851.55835,531.0803,TAC-2,16.172383831402062,-6.101517425735371,-1.8372857620650087
-765.448,-79.42601,-1150.3887,TAC-1,-3.2299474576039446,-2.864719375838418,-1.8098629436049165
304.54324,-1429.4171,-437.10608,HS - Medulla,16.787037800623953,0.8624681316688271,-2.6317004141684905
530.1662,-1017.51245,-82.25501,HS - Medulla,5.492788733003999,-9.444026067916363,-1.6350299585736177
-248.23572,-1491.3076,-123.989075,IRS - Huxley's layer,5.935028147453065,6.796978487974421,2.441482444076299
-246.16133,-1327.1139,-93.964264,IRS - Huxley's layer,-1.9440573677705328,-4.89388784402845,1.5978278572149989
-429.70633,59.833218,-631.4634,TAC-1,2.0424483384573806,-11.747239287226671,-0.1668138839473832
16.5846,-434.49936,-34.743008,TAC-2,1.4525153051990205,31.46362695119289,20.97657453237342
429.48242,-1092.7551,-201.01355,HS - Medulla,3.3986984640858298,-5.168102920076978,1.434922550412913
1275.7289,1184.2336,586.66156,TAC-2,4.5899932532090615,-5.6863761888940765,9.659727579574724
-29.861425,-1785.0629,-648.2058,IRS - Huxley's layer,11.155249452672408,-22.090679806606904,-0.2528290852646305
2.8757527,-1660.1335,-587.55835,IRS - Huxley's layer,1.740433037273159,11.62680697294256,-1.3934176219860843
97.16708,-622.6415,-41.05815,HS - Cortex,-3.3347010052207127,-16.709260033527666,-4.612072517173768
457.96658,-927.142,-322.2616,HS - Medulla,4.119798471529295,-7.789488203881617,6.442488509707485
-378.15378,-1422.3398,-351.59598,TAC-1,-2.04814588192183,-3.653939964141973,-4.449426045763421
-1341.9261,-577.3527,-972.8167,TAC-1,1.1543175391184155,-7.303879860654815,1.9696673534160432
1679.6593,-401.49728,-23.050062,HS - Medulla,57.53991283624971,15.546593419700052,-0.4594446775579864
466.91232,204.55215,263.493,TAC-2,12.945152827291466,6.164023278874548,3.799656402465808
-1048.9215,648.098,-617.20844,IRS - Henle's layer,2.4719496643662664,-5.3778882887403645,2.0779142159600608
-913.0276,-267.34412,-995.71265,TAC-1,4.795309065791563,-6.157628080534716,0.9743104478569904
-613.82513,-309.30634,-734.08636,TAC-1,7.086364173787618,-5.499931061223231,6.640907901641619
-723.18463,-39.726227,-911.30896,TAC-1,-3.1195857662291027,-5.2780609275602295,1.91167201439372
-741.8973,1661.4762,-783.4706,TAC-1,5.0559767867709615,-2.508651309343024,0.4801656689132028
-275.09033,-562.2644,-410.45285,TAC-1,-3.707660089500136,-14.432956932286473,5.795792526341557
-1439.7858,-442.55832,-1129.8137,TAC-1,0.2601741441206879,-10.630643739344094,1.8744170833498988
-577.6263,-2.3551664,-928.5111,TAC-1,-4.680567084106465,2.6774157294488625,-1.6831080960513818
-516.7157,819.11505,-455.32486,TAC-1,0.7043584420193292,-7.974296772266558,-5.116832013926252
-827.9309,-392.32684,-504.32437,TAC-1,4.3222056954354535,-21.85862031568101,2.16374924045454
396.04504,-2556.7861,-863.0864,IRS - Huxley's layer,6.425453291886658,-14.953953700495994,-6.703579238164174
1424.8009,967.9806,633.93054,TAC-2,0.389325409734481,2.233783219337606,-6.184908809555235
441.83047,-2270.0386,-811.314,IRS - Huxley's layer,0.8090032774614151,-0.9927984859679388,-3.083440106846558
224.2519,-1475.1642,-608.06445,IRS - Huxley's layer,1.1476207652352644,-2.3497696503850487,-0.0422532547141004
-798.4596,-126.81355,-1191.9281,TAC-1,1.3901966583312189,-5.50729348593047,-0.9487297355110036
-288.6312,-112.84087,-290.19226,TAC-1,1.8388224955262145,-8.848688343523424,-1.3782303742485535
-890.87024,915.6811,-362.2329,IRS - Henle's layer,-0.7831206706179852,-2.9417372936566752,-0.0334587119068189
3045.3254,40.523933,-243.92268,HS - Medulla,23.80743985815034,11.07859395999485,0.0691015672727011
-534.7374,-203.88344,-827.4566,TAC-1,-5.836158372072531,-6.680358392336622,0.0233732842255679
373.18277,-852.32837,984.12836,HS - Medulla,-3.3074895154167288,-0.928408853397734,8.881063182524969
155.92558,-851.60803,-356.73483,IRS - Huxley's layer,22.42776680981961,3.09513858750662,2.849392195786905
-967.57886,2381.2317,-617.7207,IRS - Henle's layer,0.9571629887885492,-3.5982755738213825,-5.4420048015756
-526.7662,-224.99927,-613.26904,TAC-1,2.490796028893262,-9.810384929059198,-0.9489609375411442
-1356.5215,-723.773,-839.2771,TAC-1,2.4858688932840662,-2.165155521171336,1.408066231122897
490.5256,-627.6371,2633.0115,HS - Cortex,1.253946753399204,-0.7547825357176207,-3.6691282718920224
98.655815,-1142.3553,-93.87272,HS - Medulla,7.33064607227284,-7.772812096144931,0.0179625498539963
1069.7135,-803.59076,-118.07189,HS - Medulla,2.9168929770919783,19.728934778307394,9.796289439165887
-140.05675,-148.25304,-320.27042,TAC-1,7.436800271890081,1.8111697186759623,-1.2698652239695836
-523.2036,-1198.5232,-518.48346,IRS - Huxley's layer,6.852573676554162,-0.3510546999796353,9.14846672461378
-316.66522,-1434.6892,-460.74313,IRS - Huxley's layer,5.781824774236971,-13.382295325361667,-3.407516195307396
1558.4094,1187.224,619.77124,TAC-2,-3.667361989650772,5.898209958425685,-7.510880214614097
-766.9348,1486.1516,-641.9718,TAC-1,-1.9791738858634664,35.13201709353383,-5.584579774171832
298.6334,-2020.3435,-666.2084,IRS - Huxley's layer,-1.3903447939060158,-1.362312113426086,-1.1817169464792905
2053.358,-478.1576,-189.31856,HS - Medulla,1.4553358858965686,-8.714268957776277,-3.4092691675034312
-546.8307,-912.2614,-633.1654,TAC-1,3.0955312982951493,4.12989758034122,-13.554144750845952
-186.46013,-75.54531,-405.64838,TAC-1,4.592079722058841,-12.834906432908443,3.4757146411165896
-853.7173,-217.10396,-1067.9519,TAC-1,6.614632283867858,-4.100501607635929,2.4820635436561207
507.76202,180.26622,137.06374,TAC-2,0.3309487072589994,-10.81106509322834,-0.8814340019712011
273.39627,-1135.5586,-134.20029,HS - Medulla,15.793150803726215,-13.95161456500813,-8.310389349137411
2438.344,-12.281301,-110.60483,HS - Medulla,8.969184134944072,0.5414141432874252,-0.7887578017033081
409.883,352.43063,78.65533,TAC-2,6.0452543558576295,-5.92286900139398,7.843865172830636
-772.18585,-55.89729,-1093.9749,TAC-1,3.153747400942973,-11.18866234984127,-1.900417031121364
433.06082,-1365.1486,-448.11258,IRS - Huxley's layer,6.597353337282615,-6.494303423434847,1.95424072782562
1455.9484,1158.981,584.3538,TAC-2,-4.999704245078701,0.4652817504781152,-1.103718751693974
-213.92493,-385.3873,59.270493,TAC-1,0.7709120253333261,-17.862608819065482,-1.683912334745283
63.05,-1032.9751,-362.82208,IRS - Huxley's layer,18.873374205458934,-24.31609812043697,-3.887390378153668
829.14026,-1065.2861,-320.32892,IRS - Huxley's layer,1.613772671984816,-9.010316119389778,-6.511928590823532
-360.26822,-730.15137,-170.28162,TAC-1,2.620047477729742,-9.003546794025265,1.9731954792986843
-975.35583,-127.60238,-1147.6451,TAC-1,7.567538371997788,-3.8755654199964265,2.2638347288566107
-551.88214,2883.0693,-1049.9856,IRS - Henle's layer,-1.7056585422965354,-1.09562781195938,-1.9902499873303872
-839.9658,1525.9816,-821.5692,TAC-1,-2.000102796775731,31.4401966735875,1.997249393510955
-715.93066,-27.53163,-1056.2925,TAC-1,-1.1890295338460648,-4.760836208359831,-1.126709212306284
-1346.2828,-470.18704,-934.2926,TAC-1,3.518976275776558,-1.0074037723758007,1.5422366698802945
43.25151,-1189.7224,-397.7294,IRS - Huxley's layer,3.2088685064286646,-0.2192364202266985,-1.060745007638333
-688.7374,1312.4506,-377.06778,IRS - Henle's layer,-2.0411777467306247,-5.852804680243525,0.7540177432731416
-1634.2311,-724.2951,-1151.5039,TAC-1,3.12954494863992,-1.966712642152032,0.2392161096063021
376.76083,-1766.5688,-631.48785,IRS - Huxley's layer,6.590429880066444,-5.6156137852755865,3.887653384932954
-1357.4172,-625.02026,-1028.4371,TAC-1,3.144068490285466,3.668817827556714,-0.644959273028175
703.6726,-669.8217,-56.968876,HS - Medulla,-1.6056501367663636,-1.1928692152504876,-0.7868213970875428
94.47879,-840.9535,-459.1113,IRS - Huxley's layer,11.38342065437108,-13.09252737715694,3.365049080070506
-5.762485,-385.64496,131.07347,TAC-1,15.24283516702646,-2.259118937917956,3.457015441209467
1531.6222,1298.1174,643.3006,TAC-2,0.2258394269296563,-1.177112813837092,-1.062053704251411
-237.36966,-1343.6458,1191.4459,HS - Cortex,9.858387434617333,-17.75426830463109,-18.825577713416184
45.70197,-1634.5645,-565.4459,IRS - Huxley's layer,0.2472039847607669,14.044216897247574,-6.147165278929306
-955.21954,-477.66473,-978.23395,TAC-1,7.016173711581336,2.260094969561415,-5.746977836269188
-377.32556,-1055.6205,-435.9705,TAC-1,-7.129873993945907,-1.78265803740549,-21.0452432241545
54.611732,-756.0775,59.99369,HS - Cortex,12.772568619957104,-2.0917706480325644,7.91400140349908
-528.251,-418.8615,-708.76746,TAC-1,0.9949900245960024,-6.704211648209464,0.6317257351344318
-502.06653,-562.7294,-424.53705,TAC-1,8.830978292803325,-6.4421523836802725,-0.3965779543506504
-620.3113,1159.5579,-433.1483,IRS - Henle's layer,3.132068462910393,-0.697360629979667,0.8633478433440974
793.7264,693.0021,351.23087,TAC-2,7.023917329672774,0.1691896440580118,1.24299646561572
-41.99783,-507.92316,-294.2406,TAC-1,2.816184681179075,2.748037096911471,1.6566790590243978
-806.1203,-271.75946,-980.32794,TAC-1,-1.946827824967772,-1.83739746751746,-0.9187718057138008
-611.7925,-732.2769,-505.77362,TAC-1,16.933846059522352,-14.717697367970358,-1.022456184357865
425.02875,-2262.1816,-741.0493,IRS - Huxley's layer,-0.874046937125312,-17.982292586659536,-5.9387981791941575
-376.83936,-210.5413,396.80222,TAC-1,-1.984723036531686,-7.331918024913314,-2.913773003576225
1448.6536,-700.4359,-125.15787,HS - Medulla,27.84824987763097,11.813367000697497,0.4194665789479426
-531.6558,2670.1172,-893.7713,IRS - Henle's layer,0.662616346555901,-0.9551570116159672,0.0429316219129459
-1407.4701,-449.59747,-1124.1738,TAC-1,-2.9056287985023586,13.977118444067209,-5.519902820725204
-144.85242,-990.2206,1070.0022,HS - Cortex,1.650075703570473,-9.95041756091459,-3.239203702115195
-379.0988,-359.27795,-319.6491,TAC-2,2.884065745934447,-9.37860942487966,1.1042976206087232
-122.81778,-1765.7896,-370.64774,IRS - Huxley's layer,4.563130497529733,-1.1452423375271672,1.6559324676074083
-912.3707,1788.6932,-579.28406,IRS - Henle's layer,4.335930950706391,0.7793056930543021,0.1374247342691595
-384.45737,-844.01056,-613.0517,TAC-1,-2.0586756595893303,-7.1899053464545535,-1.1015933144645935
-1202.5718,-849.20795,-918.1134,TAC-1,4.790697977605724,-9.41552498792273,-9.485435262881424
-672.5232,-257.1301,-819.1064,TAC-1,-3.938843262750138,0.2023182688882928,-0.8960266730579136
-365.0287,-412.07477,-125.648834,HS - Medulla,2.7230190151877363,-10.269728906974906,11.911084262043394
650.4385,444.39587,566.5007,TAC-2,2.075041832999672,-4.187652904879768,-5.7826681265092486
-562.72723,108.018005,-230.26192,TAC-1,4.577861966440711,-2.9953404972352087,0.8572008847402391
1485.7185,1119.9686,640.0106,TAC-2,-4.508954592090701,7.772704786888129,-4.1408617182491065
-583.84955,-353.82767,-838.0944,TAC-1,8.617222289269947,8.253655070031005,2.2663744081855253
901.5197,-1114.7893,-182.91824,IRS - Huxley's layer,7.773270297127919,1.4854793105254966,-0.3358238186531043
-508.88586,820.45294,-356.95782,TAC-1,7.732969420275111,8.191535538789816,-2.2419050388322885
-889.94684,-86.50333,-1248.313,TAC-1,15.327039964477455,4.022960785257549,-6.983633051281034
-750.8239,-40.596497,-1146.2218,TAC-1,-4.1352757706841325,10.327401767238667,-3.9941031966946414
-362.1021,-445.19235,-414.67056,TAC-1,-4.845544007449231,-16.15166207070298,-14.959546333990396
-491.80035,814.3757,226.20296,TAC-1,5.994993495061785,1.147740455975829,7.729970836240488
-711.35364,1550.7369,-745.8613,TAC-1,4.71874247511508,3.6086222475236776,2.5705792445114164
-807.0193,-481.44678,-465.57434,TAC-1,12.864853514978632,3.637470942237864,-2.531461257088186
-662.3986,1474.5355,-480.58218,TAC-1,12.56466615334613,-0.5644030791548901,-1.2037722233631831
629.4869,-918.5439,-273.35443,HS - Medulla,-0.1663651693025041,-13.293563317806134,2.539393199734772
-103.77367,-841.46625,833.80597,HS - Cortex,1.7836652476958104,-8.762192098444418,4.663846580887064
-402.98462,23.080536,-212.134,TAC-1,0.875310050875504,-5.439753068457216,4.3677892505461084
-453.18814,108.18164,-61.771236,TAC-1,3.273141044611972,-12.920671560417318,3.1680675577603297
-802.6028,-1405.0352,-697.9252,TAC-1,9.420449200192468,-13.390281568552147,-8.99520998166159
-654.86536,1631.1028,-755.8064,TAC-1,-0.6024904247393974,6.506441422639504,-1.5039309302625006
-1026.0015,-621.90216,-657.97394,TAC-1,2.3049949222655863,-7.598070186824355,-2.2579968940089565
-662.9533,-36.03855,-875.2422,TAC-1,2.710948952535829,-6.561071752021843,-1.9965143882320129
-184.15096,-1040.8469,-213.23103,IRS - Huxley's layer,-1.9644883728904576,-8.257353787008208,-0.2220511862183402
-868.5395,-242.98099,-935.7566,TAC-1,3.5009918301514475,-2.506204982387285,9.803124620930708
84.07436,-1193.6763,-382.19913,IRS - Huxley's layer,18.4302464926878,-13.19712647943414,4.4827372059337165
-853.5077,1846.1597,-507.88065,IRS - Henle's layer,-1.3479972873319557,0.4266055396882685,-0.640890982327298
1045.654,625.14624,427.9366,TAC-2,1.5022310530777516,-6.326167687056155,1.215248942477452
395.3421,-1810.3967,-611.23474,IRS - Huxley's layer,1.8188117850328471,-3.755197121980263,-1.856692760251188
-152.12265,-467.98322,-652.51483,TAC-1,3.31275789579056,-10.325750852568907,-0.6072541011798173
-912.1091,786.30994,-683.7297,IRS - Henle's layer,-0.5580297146321648,-2.6509721651229,-1.9396967762209985
-664.6482,1871.271,-868.0205,IRS - Henle's layer,-0.3173850116080465,1.2814719752196442,0.8770529718321396
-586.86224,1249.9022,-673.7852,TAC-1,-2.687723591042992,-3.267162112910467,-3.2792647230539216
1561.7667,1383.2559,562.3082,TAC-2,0.0383902183148616,-0.0442572398936442,0.0129330033335429
-399.52042,238.87518,-740.0444,TAC-2,5.419597617988012,-4.338447632113487,0.5674679865814274
301.5726,-1465.3862,-352.70227,HS - Medulla,-6.482122573025959,-10.785546953611178,-6.450529441714359
1561.8539,1238.1177,625.61804,TAC-2,3.781174584787958,-3.7421271125091686,11.437214524627542
-899.5082,3679.5493,-808.2453,IRS - Henle's layer,2.515645961391339,-3.1526989261374028,4.059661961974197
-1714.7225,-845.6217,-1068.3508,TAC-1,-1.18968469542895,-21.52150744126813,4.726332283965833
-222.83307,-709.17456,-571.8508,TAC-1,25.431760840789703,3.4818625041627533,-4.613241676624852
1204.646,-552.6321,-137.00891,HS - Medulla,-1.2153566746455189,-1.0883532289573932,-0.8101121787802515
-1278.0531,-348.75793,-1368.3588,TAC-1,2.9248008525012748,-2.3127759492065305,2.348766139287721
2441.0771,-233.01335,-188.3355,HS - Medulla,22.77475871962018,4.063818377107663,-2.2974038505636933
-205.01212,-1579.5288,-59.081264,IRS - Huxley's layer,22.661918879961704,2.0085973669985764,-3.1642665378686554
-913.5064,-276.96066,-807.19806,TAC-1,0.8646945222531629,-7.37059580853151,-2.7789772435380966
-54.285133,-977.8048,-136.84947,IRS - Huxley's layer,3.028979824727798,-1.697665464150327,5.435099964593364
-220.90034,1694.1798,-781.70953,IRS - Henle's layer,4.966063019178624,-10.218389964199536,2.321240628883648
-628.048,2668.3828,-980.08563,IRS - Henle's layer,1.282086509728962,9.097843585157142,3.024514384651382
-1044.611,-127.46604,-1125.2943,TAC-1,-4.526568438623842,-0.7587443223528151,-3.9310398744588193
-191.92186,-782.7447,-152.61717,TAC-2,22.830975613220748,2.78382654105424,-1.6705223278850951
-373.0876,205.6039,-444.06854,TAC-1,1.8964775388676671,-6.2733595721308,4.17929950425232
-263.16974,-883.44916,-127.13906,IRS - Huxley's layer,4.658813347723404,11.13095016510413,0.7217174491262853
-326.18442,-82.95881,-32.828514,HS - Cortex,-4.7851500377129845,-1.1246024530303196,-7.867375975950504
-1247.279,-147.09343,-1010.5578,TAC-1,0.7319643795537505,-15.689638298673913,-0.6245894281075732
-1476.7383,-718.1319,-992.2701,TAC-1,5.0362663249432,-8.866824325642698,-1.0978556761248237
-672.06793,1246.4296,-407.0181,IRS - Henle's layer,-6.809679391584685,24.36411753986741,-3.3974812515237622
429.68542,-1332.3287,-325.95236,HS - Medulla,6.340904146292865,1.0156711646971597,4.141605182605649
1441.1926,994.2954,596.2035,TAC-2,4.421455886576792,-2.586773079965877,-2.8356053476263323
20.115591,-1951.7253,-686.0533,IRS - Huxley's layer,1.5102082504255154,-0.1216884930520965,0.3633631416979476
163.4868,-17.600197,71.83614,TAC-2,-7.225405227732401,-11.024538096202656,-0.0388147924788129
-649.3009,1454.5808,-761.16626,TAC-1,2.474377407874708,-5.862960200719492,-1.4451083545431158
-273.1086,-675.7578,420.51022,TAC-1,5.673825473838127,-3.993015318066138,8.83601003190557
26.417253,-882.9093,-509.2542,IRS - Huxley's layer,18.60752202673496,10.64524086849149,5.118533390368372
-1470.2711,-750.95557,-981.9591,TAC-1,-32.09264743879617,-2.943880634085386,-15.981008492479845
-296.67987,-451.15643,305.32135,TAC-1,0.0054293666004665,0.101622075874152,-0.0162905328669941
-690.6262,-732.2236,-729.5487,TAC-1,-6.8252408801591775,-7.147671351803163,-2.317938408429073
-1291.6368,-301.29095,-1391.1235,TAC-1,-0.7494688578314785,-5.263487391333389,1.1100861558480233
-697.0541,-1272.5365,-402.16138,IRS - Huxley's layer,-11.55154727214665,3.4688258682780155,-7.808169971438067
-779.2033,1442.1793,-442.5831,TAC-1,2.1010359427790988,-1.686980242371699,-5.795674089439628
-511.60907,-106.18607,69.15135,TAC-1,1.110748055073287,-0.1381350287534676,-5.892457758775172
-1702.653,-662.86273,-1252.8298,TAC-1,2.736332734318948,-7.292752556974561,-1.4511652810584266
-511.00742,-64.62409,-953.454,TAC-1,-2.3370893319647568,-14.627392699851992,1.5213286436007347
-728.5393,-334.9952,-600.4559,TAC-1,5.556672586286322,-4.506022185184663,3.783139919929992
-709.2648,-286.0501,-803.4724,TAC-1,16.59636809776166,-16.934266599672362,-2.107523604366752
-627.76886,782.2488,-174.94852,IRS - Henle's layer,-11.223009605433257,-3.8844917669536416,-5.031443286398894
237.29688,-1500.4987,-544.343,IRS - Huxley's layer,7.117179424577978,-24.997630772091053,-12.187111830484897
461.77924,-6.160981,81.14022,HS - Medulla,-5.448022289453612,-1.7809169065347072,-3.7786780994767897
1018.77203,-769.709,-163.996,HS - Medulla,3.5498124977907723,-14.855042275386946,-1.755369038003397
1.5910196,-1020.1709,1372.7644,HS - Cortex,-1.4953658459045167,-1.533749729450749,-5.761712017518448
257.43622,-875.5557,138.86197,HS - Medulla,-6.267110552314527,1.7037999751877082,8.864463371489073
-299.42548,-443.57065,-222.86519,TAC-1,-1.1026715483967644,-4.165218077292651,-1.177791738819206
-1006.154,-853.4645,-743.22003,TAC-1,15.321254003441725,-16.643108483002408,5.020615814858639
-116.016335,133.87645,-293.04968,TAC-2,22.95946540961212,10.41805590142952,-2.766482398201296
480.05862,-830.44257,-388.94678,HS - Medulla,14.229557086262233,0.8757958809006192,-0.542250239636468
648.21173,464.11404,158.22224,TAC-2,3.666660626171754,-7.178062502630033,-1.0844180505988046
125.56879,-2029.6771,-662.05945,IRS - Huxley's layer,20.251671059815788,-19.439898202763057,-11.951409625873058
-18.63991,-792.38226,238.03911,HS - Cortex,3.9170191486808825,-12.923692237948911,-4.792613634763698
-672.47986,819.398,-425.87524,IRS - Henle's layer,-0.3212317960012114,-1.91681122668108,0.1079337935453237
401.70148,-1400.907,-404.9703,IRS - Huxley's layer,2.585501801572316,-8.895461828492468,0.0446299860694645
-330.61517,-15.124683,-489.2591,TAC-1,-0.7068620214267395,-1.0603136073522528,2.7119771569012148
-582.6496,-159.65414,-182.74442,TAC-1,2.0745850944293003,-8.610465555865881,1.6771002263071113
-51.869846,-1821.2932,-609.4577,IRS - Huxley's layer,-3.063830491352056,8.077116199438656,1.4878204283257137
1086.6948,1014.8279,487.06723,TAC-2,0.2582483299449739,-3.63749606786445,-1.0289427255280967
-1093.1155,-161.95224,-1318.2985,TAC-1,6.342997250780261,7.762101727498261,-6.595206062171126
-817.0219,-639.97034,-525.0246,TAC-1,2.887005987382448,-17.873657407131304,-7.4855059984465075
-1091.2592,-413.95853,-1153.5701,TAC-1,-5.022037842005932,-2.659370762507007,-1.6041128463218943
148.87521,-1317.0591,-464.98932,IRS - Huxley's layer,17.697425049082423,2.52018331584676,-4.014542763969854
-131.33572,-781.2396,-118.95194,IRS - Huxley's layer,-0.3213035308137948,-30.315695764025737,-6.292203768881583
355.79752,-1730.8185,-582.7081,IRS - Huxley's layer,-0.8956285231738171,-9.606461594164225,-5.43003127643066
-544.2054,-115.28911,-993.56915,TAC-1,11.229384264340734,-0.4435286865773626,3.061109528124645
-1388.7045,-782.31256,-839.66614,TAC-1,0.3045584356482086,-8.027545098830018,-0.1828870212361553
-717.1271,-392.777,-923.4816,TAC-1,6.116836133246919,-11.060180225601732,-1.1896474650709277
1580.8137,1268.0951,682.8346,TAC-2,2.532850743071312,-0.3976765454019029,-2.397354846710195
242.21008,-908.52014,-353.3445,HS - Medulla,-8.843924064019008,-9.695542382961063,-14.646259082959787
814.753,2131.0542,-36.87312,TAC-2,-6.927128238371161,9.142649771376936,-5.569253368084401
-816.20435,1173.62,-655.7166,TAC-1,5.026843949812069,-2.5121870547307195,-0.0528942095914915
-741.974,1370.3153,-436.0246,IRS - Henle's layer,6.524250618819309,-4.658632544844805,6.421950756345615
-640.19183,-66.133484,-985.1783,TAC-1,3.4455945136455823,-7.135891226097268,-1.4245970247099045
201.6604,-768.2306,-156.94345,TAC-2,6.688000991649654,-21.280548288475817,-2.116997994599661
-696.22986,-145.9279,-1049.0515,TAC-1,6.756916960382574,-7.069325774657034,-2.193758886104603
-1563.9895,-860.70703,-1016.3601,TAC-1,-6.506930957497492,13.144265983043493,-2.307028077098144
-622.5955,-245.08673,-666.038,TAC-1,0.9574548678502453,18.078493963907704,-2.724835191250203
-113.179756,-1237.0326,-390.33487,IRS - Huxley's layer,0.026726348708035,9.26862539387402,-1.358947529918097
